condition_id,condition_name,synonyms,icd_code
cond_001,Common Cold,Upper Respiratory Infection|URI|Head Cold,J00
cond_002,Insomnia,Sleep Disorder|Sleeplessness,G47.0
cond_003,Mild Anxiety,Nervousness|Worry,F41.1
cond_004,Headache (Tension),Tension Headache,G44.2
cond_005,Migraine,Migraine Headache,G43
cond_006,Indigestion,Dyspepsia|Upset Stomach,K30
cond_007,Nausea,Queasiness|Upset Stomach,R11
cond_008,Constipation,Irregularity,K59.0
cond_009,Diarrhea,Loose Stools,K59.1
cond_010,Irritable Bowel Syndrome,IBS|Spastic Colon,K58
cond_011,Heartburn,Acid Reflux|GERD,K21
cond_012,Bloating,Abdominal Distension,R14
cond_013,Minor Burns,First-degree Burns,T30
cond_014,Minor Cuts and Scrapes,Abrasions|Wounds,T14.1
cond_015,Bruises,Contusions,S00-S09
cond_016,Muscle Soreness,DOMS|Muscle Pain,M79.1
cond_017,Joint Pain,Arthralgia,M25.5
cond_018,Osteoarthritis,Degenerative Joint Disease,M15-M19
cond_019,Rheumatoid Arthritis,RA,M05-M06
cond_020,Back Pain (Lower),Lumbago,M54.5
cond_021,Neck Pain,Cervicalgia,M54.2
cond_022,Menstrual Cramps,Dysmenorrhea,N94.6
cond_023,PMS,Premenstrual Syndrome,N94.3
cond_024,Menopause Symptoms,Hot Flashes|Night Sweats,N95.1
cond_025,UTI,Urinary Tract Infection|Cystitis,N39.0
cond_026,Prostate Enlargement,BPH|Benign Prostatic Hyperplasia,N40
cond_027,Eczema,Atopic Dermatitis,L20-L30
cond_028,Psoriasis,Plaque Psoriasis,L40
cond_029,Acne,Acne Vulgaris,L70.0
cond_030,Rosacea,Facial Redness,L71
cond_031,Minor Skin Infections,Impetigo|Folliculitis,L01-L08
cond_032,Fungal Infections,Athlete's Foot|Ringworm,B35-B36
cond_033,Cold Sores,Herpes Labialis,B00.1
cond_034,Canker Sores,Aphthous Ulcers,K12.0
cond_035,Gingivitis,Gum Inflammation,K05.0
cond_036,Toothache,Dental Pain,K08.8
cond_037,Seasonal Allergies,Hay Fever|Allergic Rhinitis,J30
cond_038,Sinus Congestion,Sinusitis,J32
cond_039,Cough,Tussis,R05
cond_040,Bronchitis,Acute Bronchitis,J20
cond_041,Asthma (Mild),Reactive Airway Disease,J45
cond_042,Sore Throat,Pharyngitis,J02
cond_043,Laryngitis,Voice Loss|Hoarseness,J04
